Date, Open, High, Low, Close, Return
26/07/2022 00:00:00,3951.43,4039.56,3951.43,4023.61,-72.18
27/07/2022 00:00:00,4026.13,4078.95,3992.97,4072.43,-46.3
28/07/2022 00:00:00,4087.33,4140.15,4079.22,4130.29,-42.96
31/07/2022 00:00:00,4112.38,4144.95,4096.02,4118.63,-6.25
01/08/2022 00:00:00,4104.21,4140.47,4079.81,4091.19,13.02
02/08/2022 00:00:00,4107.96,4167.66,4107.96,4155.17,-47.21
03/08/2022 00:00:00,4154.85,4161.29,4135.42,4151.94,2.91
04/08/2022 00:00:00,4115.87,4151.58,4107.31,4145.19,-29.32
07/08/2022 00:00:00,4155.93,4186.62,4128.97,4140.06,15.87
08/08/2022 00:00:00,4133.11,4137.3,4112.09,4122.47,10.64
09/08/2022 00:00:00,4181.02,4211.03,4177.26,4210.24,-29.22
10/08/2022 00:00:00,4227.4,4257.91,4201.41,4207.27,20.13
11/08/2022 00:00:00,4225.02,4280.47,4219.78,4280.15,-55.13
14/08/2022 00:00:00,4269.37,4301.79,4256.9,4297.14,-27.77
15/08/2022 00:00:00,4290.46,4325.28,4277.77,4305.2,-14.74
16/08/2022 00:00:00,4280.4,4302.18,4253.08,4274.04,6.36
17/08/2022 00:00:00,4273.13,4292.53,4261.98,4283.74,-10.61
18/08/2022 00:00:00,4266.31,4266.31,4218.7,4228.48,37.83
21/08/2022 00:00:00,4195.08,4195.08,4129.86,4137.99,57.09
22/08/2022 00:00:00,4133.09,4159.77,4124.03,4128.73,4.36
23/08/2022 00:00:00,4126.55,4156.56,4119.97,4140.77,-14.22
24/08/2022 00:00:00,4153.26,4200.54,4147.59,4199.12,-45.86
25/08/2022 00:00:00,4198.74,4203.04,4057.66,4057.66,141.08
28/08/2022 00:00:00,4034.58,4062.99,4017.42,4030.61,3.97
29/08/2022 00:00:00,4041.25,4044.98,3965.21,3986.16,55.09
30/08/2022 00:00:00,4000.67,4015.37,3954.53,3955,45.67
31/08/2022 00:00:00,3936.73,3970.23,3903.65,3966.85,-30.12
